Team_Original,Team_Matched,Confederation,Stadium,City,Capacity,Country,Lat,Long,League
SV Werder Bremen,Werder Bremen,UEFA,Weserstadion,Bremen,42354,Germany,53.0664327999999,8.8376051,1 Bundesliga
Swansea City,Swansea City,UEFA,Liberty Stadium,Swansea,21088,Wales,51.6427499,-3.9345855,Championship
Torino FC,Torino FC,UEFA,Stadio Filadelfia,Turin,4200,Italy,45.0418233,7.65005219999999,Serie A
Tottenham Hotspur,Tottenham,UEFA,Tottenham Hotspur Stadium,London,90652,England,51.6043,-0.06857,Premier League
TSG 1899 Hoffenheim,Hoffenheim,UEFA,Wirsol Rhein-Neckar Arena,Sinsheim,30164,Germany,49.2380384999999,8.8879801,1 Bundesliga
Twente Enschede FC,Twente,UEFA,De Grolsch Veste,Enschede,30205,Netherlands,52.2365565,6.8379335,Eredivisie
UC Sampdoria,Sampdoria,UEFA,Stadio Luigi Ferraris,Genoa,36348,Italy,44.4165004,8.95251899999999,Serie A
Udinese Calcio,Udinese,UEFA,Dacia Arena,Udine,25144,Italy,46.0814883,13.199805,Serie A
Ural Yekaterinburg,Ural,UEFA,Tsentralnyi Stadion,Yekaterinburg,35696,Russia,56.832648,60.5733602,Premier Liga
US Sassuolo,US Sassuolo,UEFA,Mapei Stadium,Reggio Emilia,23717,Italy,44.7153333,10.6494736,Serie A
Valencia CF,Valencia,UEFA,Estadio Mestalla,Valencia,55000,Spain,39.47466,-0.3585882,Primera Division
VfB Stuttgart,Stuttgart,UEFA,Mercedes-Benz Arena,Stuttgart,60441,Germany,48.7922577,9.23208,1 Bundesliga
VfL Wolfsburg,Wolfsburg,UEFA,Volkswagen Arena,Wolfsburg,30122,Germany,52.4254133,10.8013153,1 Bundesliga
Villarreal CF,Villareal CF,UEFA,Estadio de la Ceramica,Villarreal,24890,Spain,39.9443545,-0.1037313,Primera Division
Vitesse Arnhem,Vitesse,UEFA,GelreDome,Arnhem,21248,Netherlands,51.9628121999999,5.89289119999999,Eredivisie
Vitoria SC,Vitoria de Guimaraes,UEFA,Estadio D. Afonso Henriques,Guimaraes,30029,Portugal,41.4459,-8.301,Liga Nos
VVV-Venlo,VVV Venlo,UEFA,De Koel,Venlo,8000,Netherlands,51.3519602999999,6.1797565,Eredivisie
Watford FC,Watford FC,UEFA,Vicarage Road,Watford,21000,England,51.649097,-0.4057883,Championship
West Bromwich Albion,WBA,UEFA,The Hawthorns,West Bromwich,26688,England,52.5090903,-1.9639101,Premier League
West Ham United,West Ham,UEFA,London Stadium,London,60000,England,51.5387095,-0.0166037,Premier League
Willem II Tilburg,Willem II,UEFA,Koning Willem II Stadion,Tilburg,14637,Netherlands,51.5424191,5.0645844,Eredivisie
Wolverhampton Wanderers,Wolverhampton,UEFA,Molineux Stadium,Wolverhampton,32057,England,52.5902362,-2.1304288,Premier League
Wycombe Wanderers,Wycombe Wanderers,UEFA,Adams Park,Wycombe,10284,England,51.6303361,-0.7997278,Championship
Xerez CD,CD Xerez,UEFA,Estadio Municipal de Chapin,Xerez,20522,Spain,36.6893456,-6.1205197,Primera Division
